1,9
2,1
3,2
4,2
5,8
6,1
7,2
8,5
9,6
10,1
11,1
12,5
13,3
14,1
15,4
16,1
17,1
18,1
19,5
20,5
21,1
22,5
23,1
24,9
25,5
26,6
27,9
28,4
29,0
30,5
31,2
32,8
33,1
34,4
35,9
36,1
37,9
38,1
39,9
40,5
41,9
42,9
43,2
44,3
45,9
46,2
47,0
48,5
49,2
50,5
51,4
52,9
53,9
54,1
55,0
56,1
57,1
58,5
59,4
60,5
61,2
62,9
63,2
64,1
65,9
66,3
67,5
68,1
69,1
70,1
71,8
72,1
73,2
74,2
75,1
76,5
77,3
78,9
79,5
80,9
81,0
82,5
83,1
84,1
85,0
86,9
87,1
88,3
89,5
90,9
91,2
92,9
93,6
94,1
95,9
96,4
97,5
98,1
99,9
100,0
101,9
102,0
103,5
104,9
105,9
106,1
107,1
108,2
109,5
110,0
111,5
112,2
113,1
114,1
115,2
116,6
117,8
118,3
119,2
120,1
121,3
122,2
123,1
124,5
125,0
126,2
127,5
128,5
129,0
130,6
131,3
132,1
133,8
134,2
135,4
136,1
137,3
138,5
139,1
140,1
141,5
142,5
143,2
144,9
145,9
146,4
147,1
148,8
149,5
150,4
151,2
152,7
153,5
154,1
155,9
156,4
157,1
158,1
159,4
160,4
161,8
162,0
163,2
164,8
165,0
166,5
167,9
168,4
169,9
170,7
171,9
172,4
173,1
174,9
175,9
176,8
177,3
178,3
179,9
180,9
181,3
182,0
183,1
184,9
185,9
186,9
187,2
188,9
189,5
190,5
191,4
192,1
193,6
194,0
195,0
196,1
197,9
198,2
199,1
200,5
201,1
202,5
203,5
204,2
205,7
206,0
207,9
208,5
209,1
210,2
211,4
212,9
213,3
214,1
215,0
216,5
217,2
218,9
219,3
220,9
221,4
222,7
223,5
224,5
225,1
226,6
227,2
228,4
229,1
230,1
231,4
232,9
233,1
234,1
235,1
236,9
237,5
238,5
239,9
240,9
241,1
242,9
243,9
244,1
245,3
246,1
247,1
248,0
249,9
250,9
251,3
252,1
253,5
254,5
255,1
256,5
257,5
258,3
259,1
260,2
261,3
262,2
263,0
264,5
265,0
266,2
267,1
268,2
269,4
270,2
271,9
272,5
273,1
274,1
275,1
276,5
277,0
278,2
279,4
280,4
281,1
282,9
283,2
284,8
285,3
286,0
287,7
288,2
289,8
290,1
291,2
292,1
293,4
294,9
295,4
296,3
297,9
298,2
299,2
300,1
301,1
302,0
303,9
304,0
305,5
306,1
307,1
308,5
309,2
310,2
311,9
312,5
313,9
314,4
315,1
316,6
317,9
318,9
319,7
320,6
321,9
322,2
323,5
324,1
325,5
326,5
327,1
328,1
329,3
330,5
331,1
332,3
333,1
334,9
335,9
336,2
337,2
338,8
339,2
340,2
341,2
342,5
343,1
344,5
345,0
346,0
347,2
348,2
349,1
350,1
351,1
352,0
353,9
354,0
355,4
356,1
357,9
358,3
359,9
360,1
361,5
362,2
363,8
364,1
365,5
366,1
367,3
368,1
369,2
370,9
371,9
372,9
373,1
374,2
375,2
376,0
377,1
378,5
379,9
380,9
381,4
382,1
383,9
384,1
385,3
386,9
387,1
388,4
389,9
390,4
391,9
392,9
393,5
394,0
395,9
396,2
397,9
398,1
399,1
400,9
401,6
402,1
403,0
404,9
405,9
406,2
407,0
408,9
409,0
410,2
411,9
412,4
413,1
414,1
415,2
416,1
417,3
418,6
419,4
420,5
421,2
422,5
423,9
424,2
425,9
426,9
427,2
428,4
429,9
430,8
431,1
432,1
433,3
434,9
435,5
436,9
437,2
438,0
439,9
440,0
441,8
442,9
443,5
444,1
445,5
446,5
447,1
448,2
449,1
450,5
451,5
452,9
453,9
454,1
455,9
456,3
457,1
458,1
459,6
460,5
461,9
462,1
